key;comments;en_US;tr_TR
# GENERIC VALUES
GENERIC_TEXT_VALUE_YES;;YES;EVET
GENERIC_TEXT_VALUE_NO;;NO;HAYIR
GENERIC_TEXT_VALUE_ON;;ON;AÇIK
GENERIC_TEXT_VALUE_OFF;;OFF;KAPALI
GENERIC_TEXT_VALUE_AUTOMATIC;;AUTOMATIC;OTOMATİK
GENERIC_TEXT_VALUE_AUTO;;AUTO;OTOMATİK
GENERIC_TEXT_VALUE_MANUAL;;MANUAL;MANUEL
GENERIC_TEXT_VALUE_ALL;;ALL;HEPSİ
GENERIC_UNIT_SYMBOL_CURRENCY;;%1TL;%1TL
GENERIC_UNIT_SYMBOL_EPISODE;;%1EP;%1bölüm
GENERIC_UNIT_SYMBOL_HOUR;;%1:00;%1:00
GENERIC_UNIT_SYMBOL_MINUTE;;%1min;%1dk
GENERIC_UNIT_SYMBOL_SECOND;;%1s;%1sn
GENERIC_UNIT_SYMBOL_MILLISECOND;;%1ms;%1ms
GENERIC_TEXT_VALUE_DAY;;%1DAY;%1GÜN
GENERIC_UNIT_SYMBOL_PERCENT;;%1%;%1%
GENERIC_UNIT_SYMBOL_GIGABYTE;;%1GB;%1GB
GENERIC_UNIT_SYMBOL_SERIESFORMAT;;S%1-E%2 ;S%1-B%2
GENERIC_TEXT_VALUE_YUV;;YUV;YUV
GENERIC_TEXT_VALUE_RGB;;RGB;RGB
GENERIC_TEXT_VALUE_CVBS;;CVBS;CVBS
GENERIC_TEXT_VALUE_IPPV;;IPPV;İZLE ÖDE
GENERIC_TEXT_VALUE_ENABLE;;ENABLE;AÇIK
GENERIC_TEXT_VALUE_DISABLE;;DISABLE;KAPALI
GENERIC_TEXT_VALUE_ENGLISH;;ENGLISH;İNGİLİZCE
GENERIC_TEXT_VALUE_STEREO;;STEREO;STEREO
GENERIC_TEXT_VALUE_MULTICHANNEL;;M.CHANNEL;ÇOK KANAL
GENERIC_TEXT_VALUE_TURKISH;;TURKISH;TÜRKÇE
GENERIC_TEXT_VALUE_USERDEF;;USER DEFINED;MANUEL
